slug,name,city,state,website,email,confidence,source,notes,__file
true-legal-video-boston,TRUE Legal Video,boston,MA,https://truelegalvideo.com,,high,TRUE Legal Video website (truelegalvideo.com),"Website provides phone/text contact (207.619.0338) and contact form, but no email address is publicly listed on their website or in search results",/Users/nick/Desktop/depohire-src/src/data/listings/boston.json
carolina-legal-videography-charlotte,Carolina Legal Videography,charlotte,NC,https://www.carolinalegalvideography.com,kip@carolinalv.com,high,website contact page (https://www.carolinalegalvideography.com/contact/),Email listed multiple times on the official contact page; also appears on homepage.,/Users/nick/Desktop/depohire-src/src/data/listings/charlotte.json
esquire-deposition-solutions-charlotte,Esquire Deposition Solutions,charlotte,NC,https://www.esquiresolutions.com/offices/charlotte-nc/,privacy@esquiresolutions.com,medium,website terms of use page [10],"This is a privacy email found on the terms of use page; no general contact or Charlotte-specific email found on location pages, which only list phone numbers. TSG-related email (Calendar@TSGReporting.com) appears for scheduling post-merger but not confirmed for Esquire.",/Users/nick/Desktop/depohire-src/src/data/listings/charlotte.json
morrison-video-productions-charlotte,Morrison Video Productions,charlotte,NC,https://morrisonvp.com/legal/,,high,"searched website (morrisonvp.com), new site (mvpvideopromo.com), ZoomInfo, and other listings","Contact pages provide 'Email Us' link or censored email (k***@mvpvideoandpromotions.com) but no visible email address found. Business appears rebranded to MVP Video & Promotions in Burlington, NC (not Charlotte).",/Users/nick/Desktop/depohire-src/src/data/listings/charlotte.json
mountain-multimedia-inc-charlotte,Mountain Multimedia Inc.,charlotte,NC,https://www.mountainmultimedia.net/video-depositions,jonathan@mountainmultimedia.net,high,company website (about page and homepage),"Listed alongside phone number (828) 582-7306 on https://www.mountainmultimedia.net/about and https://www.mountainmultimedia.net; business appears based in Western NC (828 area code), not Charlotte",/Users/nick/Desktop/depohire-src/src/data/listings/charlotte.json
naegeli-deposition-trial-charlotte,NAEGELI Deposition & Trial,charlotte,NC,https://www.naegeliusa.com/locations/charlotte-north-carolina,schedule@naegeliusa.com,high,company website (Raleigh NC location page),No Charlotte-specific email found; this is the general scheduling email listed for NC locations and nationwide services.,/Users/nick/Desktop/depohire-src/src/data/listings/charlotte.json
churchill-reporting-chicago,Churchill Reporting,chicago,IL,https://churchillreporting.com,Kortney@churchillreporting.com,high,ALA Chicago directory listing,"Also found schedule@churchillreporting.com on scheduling page, but this is a staff contact email.",/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
esquire-deposition-solutions-chicago,Esquire Deposition Solutions,chicago,IL,https://www.esquiresolutions.com/offices/chicago-il,Calendar@TSGReporting.com,medium,esquiresolutions.com/tsg-reporting/ page,Scheduling email for depositions; no general contact email found on Chicago-specific pages or main contact form which uses a web form instead,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
exhibit-5-chicago,Exhibit 5,chicago,IL,https://www.exhibit5.com,info@exhibit5.com,high,website contact page (https://www.exhibit5.com/meet-the-team and https://www.exhibit5.com),General contact email listed multiple times on the official website. Individual emails like bwolin@exhibit5.com also found but general one provided.,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
kaplan-leaman-wolfe-court-reporters-chicago,Kaplan Leaman & Wolfe Court Reporters,chicago,IL,https://klwreporters.com/locations/illinois-court-reporters,gwolfe@klwreporters.com,high,https://klwreporters.com/contact/,Email listed on the company's official contact page; no Chicago-specific email found on the Illinois locations page.,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
lake-cook-reporting-chicago,Lake Cook Reporting,chicago,IL,https://www.lakecookreporting.com,lakecook@spreporting.com,high,website - legal videography order page and contact information,Email found on multiple pages of lakecookreporting.com including the legal video media ordering page and general contact information. Alternative scheduling email also listed as scheduling@spreporting.com,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
mccorkle-chicago,McCorkle,chicago,IL,https://mcdeps.com,schedule@mcdeps.com,high,McCorkle website contact page (https://mcdeps.com/contact/),"Primary scheduling email. Alternative contact emails available: production@mcdeps.com (video/production), billing@mcdeps.com (billing), and individual department contacts listed on their contact page.",/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
pohlmanusa-chicago,PohlmanUSA,chicago,IL,https://pohlmanusa.com,calendar-pohlman@veritext.com,high,website contact page (https://pohlmanusa.com/contact-us/),General contact email listed on main contact page; additional department emails like scheduling@pohlmanusa.com and records@pohlmanusa.com available on records contact page,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
urlaub-bowen-associates-chicago,Urlaub Bowen & Associates,chicago,IL,https://urlaubbowen.com,dayna@urlaubbowen.com,high,website contact page (https://urlaubbowen.com/contact-us/),Primary contact email listed prominently on contact and multiple other pages; individual staff emails also available but this appears to be the main business contact.,/Users/nick/Desktop/depohire-src/src/data/listings/chicago.json
cleveland-reporting-partners-llc-cleveland,"Cleveland Reporting Partners, LLC",cleveland,OH,https://clereporting.com,,high,website contact page and all search results,"Multiple pages mention 'email us' or 'call, email', and forms collect email addresses for contact, but no specific contact email address is listed in any source. Phone number (216) 459-7880 is prominently provided instead.",/Users/nick/Desktop/depohire-src/src/data/listings/cleveland.json
veritext-legal-solutions-cleveland,Veritext Legal Solutions,cleveland,OH,https://veritext.com,cleveland@veritext.com,high,website Cleveland location page (https://veritext.com/cleveland/),Listed alongside Cleveland office phone numbers: 216-523-1313 (direct) and 888-391-3376 (scheduling),/Users/nick/Desktop/depohire-src/src/data/listings/cleveland.json
video-discovery-inc-cleveland,"Video Discovery, Inc.",cleveland,OH,https://videodiscoveryinc.com,,high,website (videodiscoveryinc.com) and search results,"Contact form present on website with phone 216-382-1043, but no email address listed in any search results.",/Users/nick/Desktop/depohire-src/src/data/listings/cleveland.json
elliott-reporting-colorado-springs,Elliott Reporting,colorado-springs,CO,https://elliottreporting.com,office@elliottreporting.com,high,"website contact page (elliottreporting.com, elliottreporting.com/locations/, elliottreporting.com/about-us/)",,/Users/nick/Desktop/depohire-src/src/data/listings/colorado-springs.json
anderson-reporting-columbus,Anderson Reporting,columbus,OH,https://andersonreporting.com,christy@andersonreporting.com,high,website about page (https://andersonreporting.com/about/),"Email for Christy Heaney, Vice President who manages scheduling, production, and videography departments. No general contact email found on contact page or elsewhere.",/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
higgins-court-reporting-columbus,Higgins Court Reporting,columbus,OH,https://higginscourtreporting.com,Higgins@HigginsCourtReporting.com,high,website about page (https://higginscourtreporting.com/about),Listed as General Information email; also appears on homepage and other pages. Owner email Beth@HigginsCourtReporting.com also available.,/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
kentuckiana-reporters-columbus,Kentuckiana Reporters,columbus,OH,https://kentuckianareporters.com,schedule@kentuckianareporters.com,high,"website locations and contact pages (e.g. [1], [4])","Primary scheduling email listed multiple times on official site; no separate Columbus OH office found, but they cover Ohio including Cincinnati",/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
naegeli-deposition-trial-columbus,NAEGELI Deposition & Trial,columbus,OH,https://www.naegeliusa.com,,high,website contact pages [1][3],Contact pages provide phone (800) 528-3335 and forms only; no email address listed on website or in search results.,/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
tackla-court-reporting-columbus,Tackla Court Reporting,columbus,OH,http://www.tacklacourtreporting.com,info@tacklacourtreporting.com,high,website contact page (http://tacklacourtreporting.com/contact.html),"Multiple individual emails also listed on http://www.tacklacourtreporting.com/contactus.htm, but info@ is the general contact.",/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
the-ohio-reporting-company-columbus,The Ohio Reporting Company,columbus,OH,https://ohioreporters.com,schedule@yourdepos.com,high,website contact page (https://ohioreporters.com/contact-us/) and locations page,"Business located in Cincinnati, OH (not Columbus), but matches 'Ohio Reporting Company' and website; no Columbus-specific office or separate email found.",/Users/nick/Desktop/depohire-src/src/data/listings/columbus.json
naegeli-deposition-trial-dallas,NAEGELI Deposition & Trial,dallas,VA,https://www.naegeliusa.com/locations/arlington-virginia-court-reporters,scheduling@naegeliusa.com,high,Arizona Courts PDF directory listing for Naegeli Deposition and Trial,"No location-specific email found for Dallas/Arlington, VA; this is the scheduling email from their Arizona office listing. Website uses contact forms and phone (800) 528-3335, no direct emails on VA pages.",/Users/nick/Desktop/depohire-src/src/data/listings/dallas.json
2-rivers-multimedia-denver,2 Rivers Multimedia,denver,CO,https://www.2riversmultimedia.com,rebecca@2riversmultimedia.com,high,website contact page (https://www.2riversmultimedia.com/?page_id=11),"Multiple emails listed on contact page: rebecca@2riversmultimedia.com, jeremy@2riversmultimedia.com, 2riversvp@gmail.com; selected primary one; also confirmed in legal directory [1]",/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
esquire-deposition-solutions-denver,Esquire Deposition Solutions,denver,CO,https://www.esquiresolutions.com/offices/denver-co/,,high,"website pages including Denver office, contact form, office locations, and directories",No email address found; contact via phone (303.316.0330 for Denver) or website contact form only.,/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
naegeli-deposition-trial-denver,NAEGELI Deposition & Trial,denver,CO,https://www.naegeliusa.com/locations/denver-colorado,,high,"searched website pages, BBB, BOTW, and directories","No email address found in any search results; only phone numbers (720-880-7529, 800-528-3335) listed. Contact forms present on website.",/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
pike-reporting-company-denver,Pike Reporting Company,denver,CO,https://pikereporting.com,schedule@yournextdepo.com,high,pikereporting.com/our-locations/ page,Also listed delaney@yournextdepo.com and alex.souders@yournextdepo.com in directory listings; no general contact email on main contact page.,/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
preston-benson-legal-video-denver,Preston Benson Legal Video,denver,CO,https://prestonbenson.com,info@prestonbenson.com,high,website contact page (prestonbenson.com/wedding_inquiry/),"Preston Benson Videography is based in Durango, Colorado, not Denver. The business offers video production services including wedding videography, corporate videos, and video depositions. The email was found on their wedding inquiry form page.",/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
rocky-mountain-reporting-denver,Rocky Mountain Reporting,denver,CO,https://www.rmreporting.com,,high,website (rmreporting.com) and search results,Contact pages [3] and [5] show a contact form with Email* field but no visible email address; only phone numbers provided (720.669.8807). No email found in other sources.,/Users/nick/Desktop/depohire-src/src/data/listings/denver.json
cain-crane-court-reporters-detroit,Cain & Crane Court Reporters,detroit,MI,https://cainandcrane.com,depos@cainandcrane.com,high,website schedule page (https://cainandcrane.com/schedule-reporter/),Primary email for deposition notices; no general contact email found on site. Business has NC base but Detroit presence.,/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
core-litigation-support-llc-detroit,"Core Litigation Support, LLC",detroit,MI,https://corelitigation.com,deps@corelitigation.com,high,website contact page (corelitigation.com/contact-us/) and company directory listings,"Email address appears consistently across multiple sources including the official website contact page, ZoomInfo, and SignalHire business profiles",/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
fortz-legal-support-detroit,Fortz Legal Support,detroit,MI,https://www.fortzlegal.com,scheduling@fortzlegal.com,high,website FAQs page (https://www.fortzlegal.com/faqs),Primary contact for scheduling court reporters and services; additional email shaun@fortzlegal.com found for owner in external directory [5],/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
hanson-renaissance-court-reporting-detroit,Hanson Renaissance Court Reporting,detroit,MI,https://hansonreporting.com,info@hansonreporting.com,high,Michigan State Court Administrative Office Registered Firms Directory (courts.michigan.gov) and Hanson Renaissance Court Reporting website,Email address appears in official state court reporting registry dated 2/9/2026 and is listed on the company's contact pages,/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
moretti-group-detroit,Moretti Group,detroit,MI,https://morettigroup.info,pmoretti@morettigroup.net,high,Michigan Courts registered court reporting firms PDF (result [6]),"Listed under MORETTI GROUP, KALAMAZOO, MI with phone 2693430118. Matches business from website morettigroup.info.",/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
obrien-bails-reporting-detroit,O'Brien & Bails Reporting,detroit,MI,https://obrienandbails.com,,high,website contact page and Michigan court reporting firms registry,"Website says 'email us HERE' (likely a link/form, no visible address); Michigan registry lists phone only for firm ID 8029.",/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
planet-depos-detroit,Planet Depos,detroit,MI,https://planetdepos.com,schedulenow@planetdepos.com,high,planetdepos.com/locations/michigan and multiple other pages,Primary scheduling email listed for Michigan location and general contact; media contact@planetdepos.com also found but schedulenow is more prominent for services.,/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
pohlmanusa-detroit,PohlmanUSA,detroit,MI,https://pohlmanusa.com,calendar-pohlman@veritext.com,high,website contact page https://pohlmanusa.com/contact-us/,General contact email listed on main contact page. Multiple department-specific emails like records@pohlmanusa.com and info@pohlmanusa.wpenginepowered.com also found on other pages.,/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
veritext-detroit,Veritext,detroit,MI,https://veritext.com,,low,Veritext website search results,"Search results show general contact information (info@veritext.com, calendar-midwest@veritext.com for Mount Clemens office) but no specific Detroit, MI office email address was found. Jared Goldman is listed as an Account Executive in Detroit area, but his direct email was not provided in search results. Recommend contacting main office or calling local Detroit area number for specific Detroit office contact.",/Users/nick/Desktop/depohire-src/src/data/listings/detroit.json
associated-court-reporters-acr-houston,Associated Court Reporters (ACR),houston,TX,https://acrtx.com/legal-video/,scheduling@acrtx.com,high,website contact page (https://acrtx.com/contact-us/),,/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
depotech-legal-services-llc-houston,DepoTech Legal Services LLC,houston,TX,https://www.depotech.legal/legal-videography,donna@depotech.legal,high,DepoTech Legal Services official website (depotech.legal),"Email address appears consistently across multiple pages of their website including About Us, Courtroom Support, and homepage. Also listed as primary contact method alongside phone numbers (936) 634-4475 and (866) 474-1430.",/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
depovision-video-houston,DepoVision Video,houston,TX,https://www.depovisionvideo.com,info@depovisionvideo.com,high,website contact page https://www.depovisionvideo.com/contact,"Business serves Austin and San Antonio TX areas; no Houston-specific email found, but matches the provided website.",/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
esquire-deposition-solutions-houston,Esquire Deposition Solutions,houston,TX,https://www.esquiresolutions.com/services/legal-videography/,anna.homeyer@esquiresolutions.com,high,Houston Metropolitan Paralegal Association member profile [2],Email for Anna Homeyer at Esquire Deposition Solutions Houston office. No general contact email found on company website; primarily phone numbers and forms provided.,/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
hanna-hanna-reporting-houston,Hanna & Hanna Reporting,houston,TX,https://hannareporting.com/what-is-legal-videography/,calendar@hannareporting.com,high,press releases on sophiapressreleases.com and goldenpressreleases.com,Listed as contact email in multiple Hanna & Hanna announcements; slight spelling variation 'calender' in one source but consistent domain.,/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
ross-reporting-services-inc-houston,Ross Reporting Services Inc.,houston,TX,https://rossreporting.com/legal-video-services/,angie@rossreporting.com,high,Texas Courts PDF list of firms [8],Listed in official Texas Courts directory from 2015; website repeatedly says 'EMAIL US' but no address visible there,/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
shauna-beach-company-houston,Shauna Beach Company,houston,TX,https://shaunabeach.com/services/legal-videographers,shaunabeach@shaunabeach.com,high,website about-us page,"Found on Shauna Beach's profile; other emails include production@shaunabeach.com, calendar@shaunabeach.com, billing@shaunabeach.com, johnbeach@shaunabeach.com",/Users/nick/Desktop/depohire-src/src/data/listings/houston.json
circle-city-reporting-indianapolis,Circle City Reporting,indianapolis,IN,https://circlecityreporting.com/court-reporter-services/,ccr@circlecityreporting.com,high,website contact page (circlecityreporting.com/contact-us/),"Email address appears consistently across multiple pages on their official website including contact page, office page, and deposition scheduling page",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
holm-court-reporting-and-video-indianapolis,Holm Court Reporting and Video,indianapolis,IN,https://holmreporting.com,info@holmreporting.com,high,website contact page (holmreporting.com/contact/),"Holm Court Reporting and Video is located in Fort Wayne, IN, not Indianapolis, IN. Email found on their official contact page and homepage.",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
kentuckiana-reporters-indianapolis,Kentuckiana Reporters,indianapolis,IN,https://www.kentuckianareporters.com/indianapolis-in-court-reporters/,schedule@kentuckianareporters.com,high,"website (Terre Haute page, used company-wide)","No email on Indianapolis-specific page [1], but scheduling email explicitly listed on sister location page [2] with same phone number; consistent across company sites.",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
naegeli-deposition-trial-indianapolis,NAEGELI Deposition & Trial,indianapolis,IN,https://www.naegeliusa.com/locations/indianapolis-indiana,SCHEDULE@NAEGELIUSA.COM,high,Company website (multiple location pages),"This is the scheduling email listed repeatedly across NAEGELI's site, including Indiana-related pages; no location-specific email found for Indianapolis.",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
stewart-richardson-associates-indianapolis,Stewart Richardson & Associates,indianapolis,IN,https://stewartrichardson.com,info@stewartrichardson.com,high,website contact page and FAQ page,"General contact email found on multiple pages of their official website. Specific staff emails also available: rose@stewartrichardson.com (President & Owner), tawnia@stewartrichardson.com (Production Manager), bryan@stewartrichardson.com (Production Assistant), haley@stewartrichardson.com (Office Manager), cortney@stewartrichardson.com (Client Care Manager)",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
veritext-indianapolis,Veritext,indianapolis,IN,https://veritext.com/indianapolis/,indianapolis@veritext.com,high,https://veritext.com/indianapolis/ (Indianapolis office page),Listed directly on the Indianapolis-specific page alongside phone numbers.,/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
video-mvp-indianapolis,Video MVP,indianapolis,IN,https://www.videomvp.com/legal-video-production-indianapolis.html,,high,website pages and BBB profile,"Multiple pages including contact.html, shop-small.html, and homepage feature 'Email Us' links or buttons, but no explicit email address is listed in the search results. BBB mentions 'Additional Email Addresses' and 'Email this Business' options without specifying the address.",/Users/nick/Desktop/depohire-src/src/data/listings/indianapolis.json
